name,mu,sigma,trueskill
POWorkerRush,38.861939273926204,3.2121311873637186,29.225545711835046
POLightRush,25.754744223814487,2.2179711777256155,19.100830690637643
POHeavyRush,22.98870034666808,2.212164591404348,16.352206572455035
models/MicroRTSGridModeVecEnv__ppo_gridnet__1__1641331302/6144.pt,21.481666441292322,2.812293923609439,13.044784670464004
models/MicroRTSGridModeVecEnv__ppo_gridnet__1__1641330893/6144.pt,16.10799174066183,5.348608643642864,0.062165809733237154
models/MicroRTSGridModeVecEnv__ppo_gridnet__1__1641330984/6144.pt,25.0,8.333333333333334,0.0
models/MicroRTSGridModeVecEnv__ppo_gridnet__1__1641331138/6144.pt,25.0,8.333333333333334,0.0
PORangedRush,8.881771566353699,3.3669435969510504,-1.2190592244994534
