name,mu,sigma,trueskill
coacAI,37.89135840045657,1.234905897746229,34.18664070721788
droplet,34.391285558031484,0.9093639205490619,31.6631937963843
workerRushAI,34.230029485087435,0.9196223897792394,31.471162315749716
izanagi,34.12468337292262,1.0603279231497407,30.943699603473398
mixedBot,30.8422894814135,1.0151354162103827,27.79688323278235
tiamat,29.544610597227486,1.0128187058509721,26.50615447967457
lightRushAI,29.407697411272327,1.0509744691791358,26.25477400373492
naiveMCTSAI,26.79826837043853,1.0422695418294714,23.671459744950116
guidedRojoA3N,26.22825888794566,0.9788248704479198,23.291784276601902
rojo,26.34483106740242,1.0560539379723437,23.17666925348539
randomBiasedAI,14.676227839519836,1.3184826249675687,10.72077996461713
randomAI,12.602159038227875,1.427766313860809,8.318860096645448
passiveAI,6.189873973088047,2.270932254789886,-0.6229227912816109
